Query,Result Number,Title,Link,Snippet
espp,1,ESPP: What is an ESPP and how does it work,https://www.fidelity.com/learning-center/personal-finance/what-is-an-ESPP,"An Employee Stock Purchase Plan (ESPP) is a plan that lets you buy company stock, often at a discount, on a set schedule with payroll deductions."
espp,2,Employee Stock Purchase Plan (ESPP): What It Is and ...,https://www.investopedia.com/terms/e/espp.asp,"An employee stock purchase plan (ESPP) is a company-run program in which participating employees can purchase company stock directly, at a discounted price."
espp,3,Employee stock purchase plans,https://www.computershare.com/us/business/employee-share-plans/espp,An Employee Stock Purchase Plan (ESPP) is the easiest and often the most cost-effective way for employees to purchase shares in your company.
espp,4,Employee Stock Purchase Plans (ESPP),https://www.esopassociation.org/articles/employee-stock-purchase-plans,"Employee stock purchase plans (ESPPs) enable employees to buy company stock at a discounted rate, such as 15 percent. The plans offer a potential financial ..."
espp,5,Employee Stock Purchase Plans - TurboTax Tax Tips & Videos,https://turbotax.intuit.com/tax-tips/investments-and-taxes/employee-stock-purchase-plans/L8NgMFpFX,"Mar 21, 2025 — ESPPs can increase your compensation from your employer by allowing you to purchase stock at a lower price than the market value and then sell it for a gain."
espp,6,What are Employee Stock Purchase Plans (ESPPs)?,https://www.schwab.com/learn/story/employee-stock-purchase-plans-guide,"Jan 10, 2025 — An employee stock purchase plan (ESPP)1 is an optional program that allows you to buy shares of your company's stock at a discounted price. You ..."
espp,7,Employee stock purchase plan,https://en.wikipedia.org/wiki/Employee_stock_purchase_plan,An employee stock purchase plan (ESPP) is a means by which employees of a corporation can purchase the corporation's capital stock.
long term incentive plan,1,Long-Term Incentive Plan (LTIP) Definition and Types,"https://www.investopedia.com/terms/l/long_term_incentive-plan.asp#:~:text=What%20Is%20a%20Long%2DTerm,fulfill%20various%20conditions%20or%20requirements.",N/A
long term incentive plan,2,"Long-Term Incentives, the Basics",https://www.mercer.com/en-us/insights/total-rewards/total-rewards-strategy/long-term-incentives-the-basics/,"Long-term incentives, or LTI as they're often called, are a valuable part of a total compensation package both for delivering rewards and focusing employees ..."
long term incentive plan,3,Long-Term Incentive (LTI) Compensation: The Basics,https://www.meridiancp.com/insights/long-term-incentive-lti-compensation-the-basics/,"Feb 12, 2024 — LTIPs are structured reward systems aimed at motivating and retaining key employees over a time period greater than 12 months."
